persona_id	version	group	Q1	Q2	Q3	Q4_1	Q4_2	Q4_3	Q4_4	Q4_5	Q4_6	Q4_7	Q6	q6_correct	Q7	Q8	Q9	Q10	Q11_code	Q11_name	Q12	Q13	Q14	Q15	status	retry_count	input_tokens	output_tokens	retry_t1	retry_t2	input_tokens_t1	output_tokens_t1	input_tokens_t2	output_tokens_t2
V1-A-060	V1	A	1	8	2	5	15	30	25	15	5	5			8	9	2	69	40	福岡県	1	8	2	2	ok	0	3824	97	0	0	1613	86	2211	11
V1-A-061	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	1	60	13	東京都	2	6	6	2	ok	0	3806	97	0	0	1604	86	2202	11
V1-A-062	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	43	13	東京都	1	8	7	2	ok	0	3820	97	0	0	1611	86	2209	11
V1-A-063	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	1	69	1	北海道	2	8	1	6	ok	0	3808	97	0	0	1605	86	2203	11
V1-A-064	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	40	14	神奈川県	2	3	7	1	ok	0	3828	97	0	0	1615	86	2213	11
V1-A-065	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	2	66	35	山口県	2	1	5	1	ok	0	3792	97	0	0	1597	86	2195	11
V1-A-066	V1	A	1	8	2	5	15	35	25	15	3	2			9	9	2	60	14	神奈川県	2	7	6	4	ok	0	3812	97	0	0	1607	86	2205	11
V1-A-067	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	2	36	38	愛媛県	1	1	6	5	ok	0	3820	97	0	0	1611	86	2209	11
V1-A-068	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	24	13	東京都	1	8	6	4	ok	0	3818	97	0	0	1610	86	2208	11
V1-A-069	V1	A	1	8	2	10	15	30	25	15	3	2			8	11	1	68	14	神奈川県	1	6	2	1	ok	0	3826	97	0	0	1614	86	2212	11
V1-A-070	V1	A	1	8	2	5	10	30	25	20	5	5			9	9	1	72	24	三重県	1	3	1	1	ok	0	3852	97	0	0	1627	86	2225	11
V1-A-071	V1	A	1	8	2	10	15	30	25	15	3	2			9	9	2	51	27	大阪府	2	8	1	4	ok	0	3810	97	0	0	1606	86	2204	11
V1-A-072	V1	A	1	8	2	5	15	35	25	15	3	2			9	9	2	47	22	静岡県	2	6	6	6	ok	0	3808	97	0	0	1605	86	2203	11
V1-A-073	V1	A	1	8	2	5	10	30	30	15	5	5			9	11	2	43	13	東京都	1	8	2	2	ok	0	3822	97	0	0	1612	86	2210	11
V1-A-074	V1	A	1	8	2	5	15	35	25	15	3	2			9	9	2	55	13	東京都	2	1	6	6	ok	0	3796	97	0	0	1599	86	2197	11
V1-A-075	V1	A	1	8	2	10	15	30	25	15	3	2			8	9	2	67	1	北海道	2	1	1	2	ok	0	3806	97	0	0	1604	86	2202	11
V1-A-076	V1	A	2	10	2	5	10	25	30	20	5	5			9	9	1	59	27	大阪府	2	1	2	6	ok	0	3802	97	0	0	1602	86	2200	11
V1-A-077	V1	A	1	8	2	10	15	30	25	15	3	2			8	11	2	97	1	北海道	1	2	1	1	ok	0	3812	97	0	0	1607	86	2205	11
V1-A-078	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	2	33	44	大分県	2	1	6	4	ok	0	3796	97	0	0	1599	86	2197	11
V1-A-079	V1	A	1	8	2	10	15	30	20	15	5	5			8	11	2	21	12	千葉県	1	6	6	1	ok	0	3820	97	0	0	1611	86	2209	11
V1-A-080	V1	A	1	8	2	10	15	30	25	10	5	5			8	9	2	26	13	東京都	1	7	2	1	ok	0	3824	97	0	0	1613	86	2211	11
V1-A-081	V1	A	1	8	2	5	10	30	30	15	5	5			9	11	2	45	14	神奈川県	2	8	5	4	ok	0	3806	97	0	0	1604	86	2202	11
V1-A-082	V1	A	1	8	2	10	15	30	20	15	5	5			8	9	1	26	12	千葉県	1	6	1	1	ok	0	3830	97	0	0	1616	86	2214	11
V1-A-083	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	33	14	神奈川県	1	8	2	5	ok	0	3826	97	0	0	1614	86	2212	11
V1-A-084	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	53	34	広島県	2	8	6	8	ok	0	3792	97	0	0	1597	86	2195	11
V1-A-085	V1	A	1	8	2	5	15	35	25	15	3	2			9	11	2	32	27	大阪府	1	1	6	4	ok	0	3818	97	0	0	1610	86	2208	11
V1-A-086	V1	A	1	8	2	10	15	30	25	15	3	2			8	9	2	76	27	大阪府	1	1	1	3	ok	0	3828	97	0	0	1615	86	2213	11
V1-A-087	V1	A	1	8	2	5	10	25	30	20	5	5			9	9	2	22	11	埼玉県	1	8	5	4	ok	0	3826	97	0	0	1614	86	2212	11
V1-A-088	V1	A	1	8	2	10	15	30	25	15	3	2			8	9	2	36	12	千葉県	2	2	2	3	ok	0	3796	97	0	0	1599	86	2197	11
V1-A-089	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	76	23	愛知県	1	6	4	4	ok	0	3832	97	0	0	1617	86	2215	11
V1-A-090	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	50	15	新潟県	1	7	2	6	ok	0	3834	97	0	0	1618	86	2216	11
V1-A-091	V1	A	1	8	2	5	10	30	30	15	5	5			9	11	1	40	21	岐阜県	2	4	2	1	ok	0	3790	97	0	0	1596	86	2194	11
V1-A-092	V1	A	1	8	2	10	15	30	20	15	5	5			8	11	2	85	27	大阪府	1	6	1	3	ok	0	3838	97	0	0	1620	86	2218	11
V1-A-093	V1	A	1	8	2	10	15	30	25	15	3	2			8	11	2	20	13	東京都	1	7	4	1	ok	0	3824	97	0	0	1613	86	2211	11
V1-A-094	V1	A	1	8	2	5	15	35	25	15	3	2			9	9	1	62	23	愛知県	2	8	2	1	ok	0	3796	97	0	0	1599	86	2197	11
V1-A-095	V1	A	1	8	2	5	10	30	30	15	5	5			9	11	1	79	29	奈良県	2	1	6	1	ok	0	3790	97	0	0	1596	86	2194	11
V1-A-096	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	1	74	33	岡山県	2	8	6	4	ok	0	3800	97	0	0	1601	86	2199	11
V1-A-097	V1	A	1	8	2	5	15	30	25	15	5	5			9	9	2	29	5	秋田県	1	7	6	3	ok	0	3830	97	0	0	1616	86	2214	11
V1-A-098	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	49	31	鳥取県	2	1	2	6	ok	0	3804	97	0	0	1603	86	2201	11
V1-A-099	V1	A	1	8	2	5	10	25	30	20	5	5			9	9	2	69	26	京都府	2	8	1	2	ok	0	3808	97	0	0	1605	86	2203	11
V1-A-100	V1	A	1	8	2	5	10	25	30	20	5	5			9	9	2	73	13	東京都	2	6	2	2	ok	0	3810	97	0	0	1606	86	2204	11
V1-A-101	V1	A	1	8	2	10	15	30	20	15	5	5			8	9	2	86	13	東京都	1	7	1	1	ok	0	3830	97	0	0	1616	86	2214	11
V1-A-102	V1	A	1	8	2	5	15	30	25	15	5	5			9	9	2	65	22	静岡県	2	1	4	5	ok	0	3802	97	0	0	1602	86	2200	11
V1-A-103	V1	A	1	8	2	5	10	25	30	20	5	5			9	9	2	53	21	岐阜県	2	1	2	4	ok	0	3804	97	0	0	1603	86	2201	11
V1-A-104	V1	A	1	8	2	5	15	30	25	15	5	5			9	9	2	41	14	神奈川県	2	8	4	5	ok	0	3806	97	0	0	1604	86	2202	11
V1-A-105	V1	A	1	8	2	10	15	30	20	15	5	5			8	9	2	86	11	埼玉県	1	7	1	2	ok	0	3842	97	0	0	1622	86	2220	11
V1-A-106	V1	A	1	8	2	5	15	35	25	15	3	2			9	9	2	60	15	新潟県	1	1	7	5	ok	0	3818	95	0	0	1611	84	2207	11
V1-A-107	V1	A	1	8	2	5	15	30	25	15	5	5			9	9	2	72	1	北海道	1	3	5	5	ok	0	3854	97	0	0	1628	86	2226	11
V1-A-108	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	1	69	12	千葉県	2	1	6	1	ok	0	3790	97	0	0	1596	86	2194	11
V1-A-109	V1	A	1	8	2	5	15	30	25	15	5	5			9	9	2	65	21	岐阜県	2	8	4	5	ok	0	3806	97	0	0	1604	86	2202	11
V1-A-110	V1	A	1	8	2	10	15	30	25	15	3	2			8	9	2	25	10	群馬県	2	7	2	2	ok	0	3814	97	0	0	1608	86	2206	11
V1-A-111	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	2	34	14	神奈川県	2	1	2	2	ok	0	3804	97	0	0	1603	86	2201	11
V1-A-112	V1	A	1	8	2	10	15	30	25	15	3	2			8	9	2	67	44	大分県	2	7	1	3	ok	0	3818	97	0	0	1610	86	2208	11
V1-A-113	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	32	42	長崎県	1	6	2	3	ok	0	3832	97	0	0	1617	86	2215	11
V1-A-114	V1	A	1	8	2	10	15	30	20	15	5	5			8	11	1	80	23	愛知県	1	8	1	1	ok	0	3822	97	0	0	1612	86	2210	11
V1-A-115	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	66	12	千葉県	1	8	7	3	ok	0	3822	97	0	0	1612	86	2210	11
V1-A-116	V1	A	1	8	2	5	15	30	25	15	5	5			9	9	2	27	13	東京都	1	9	6	1	ok	0	3798	97	0	0	1600	86	2198	11
V1-A-117	V1	A	1	8	2	5	15	30	25	15	5	5			9	9	2	59	27	大阪府	2	6	5	7	ok	0	3814	97	0	0	1608	86	2206	11
V1-A-118	V1	A	1	8	2	5	10	30	30	15	5	5			9	11	2	29	11	埼玉県	1	8	6	4	ok	0	3822	97	0	0	1612	86	2210	11
V1-A-119	V1	A	1	8	2	5	15	30	25	15	5	5			9	9	2	57	14	神奈川県	1	6	5	3	ok	0	3834	97	0	0	1618	86	2216	11
V1-A-120	V1	A	1	8	2	10	15	30	25	15	3	2			9	9	2	29	2	青森県	2	8	2	2	ok	0	3802	97	0	0	1602	86	2200	11
V1-A-121	V1	A	1	8	2	10	15	30	25	15	3	2			8	9	2	71	43	熊本県	1	2	1	1	ok	0	3814	97	0	0	1608	86	2206	11
V1-A-122	V1	A	1	8	2	10	15	30	25	15	3	2			8	11	2	57	47	沖縄県	2	6	2	3	ok	0	3814	97	0	0	1608	86	2206	11
V1-A-123	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	67	11	埼玉県	2	3	2	3	ok	0	3838	97	0	0	1620	86	2218	11
V1-A-124	V1	A	1	8	2	5	15	35	25	15	3	2			9	9	2	44	14	神奈川県	2	3	6	5	ok	0	3834	97	0	0	1618	86	2216	11
V1-A-125	V1	A	1	8	2	5	10	25	30	20	5	5			9	9	1	84	9	栃木県	2	2	1	2	ok	0	3802	97	0	0	1602	86	2200	11
V1-A-126	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	36	1	北海道	2	8	6	4	ok	0	3798	97	0	0	1600	86	2198	11
V1-A-127	V1	A	2	10	2	5	10	25	35	15	5	5			10	9	1	40	22	静岡県	2	1	6	7	ok	0	3800	97	0	0	1601	86	2199	11
V1-A-128	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	1	59	27	大阪府	1	8	2	8	ok	0	3818	97	0	0	1610	86	2208	11
V1-A-129	V1	A	1	8	2	10	15	30	25	15	3	2			8	9	2	53	27	大阪府	2	1	6	1	ok	0	3790	97	0	0	1596	86	2194	11
V1-A-130	V1	A	1	8	2	10	15	30	25	15	3	2			8	9	2	61	8	茨城県	1	9	2	3	ok	0	3812	97	0	0	1607	86	2205	11
V1-A-131	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	2	76	28	兵庫県	2	1	2	1	ok	0	3796	97	0	0	1599	86	2197	11
V1-A-132	V1	A	1	8	2	10	15	30	25	15	3	2			9	9	2	54	23	愛知県	2	8	2	3	ok	0	3804	97	0	0	1603	86	2201	11
V1-A-133	V1	A	2	10	2	5	10	25	30	20	5	5			9	9	1	43	28	兵庫県	1	1	6	3	ok	0	3820	97	0	0	1611	86	2209	11
V1-A-134	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	54	13	東京都	1	1	6	4	ok	0	3816	97	0	0	1609	86	2207	11
V1-A-135	V1	A	1	8	2	10	15	30	25	15	3	2			9	9	1	24	23	愛知県	2	8	2	1	ok	0	3796	97	0	0	1599	86	2197	11
V1-A-136	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	63	13	東京都	1	1	7	1	ok	0	3810	97	0	0	1606	86	2204	11
V1-A-137	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	2	61	13	東京都	1	6	2	6	ok	0	3830	97	0	0	1616	86	2214	11
V1-A-138	V1	A	1	8	2	10	15	30	25	15	3	2			8	9	2	88	23	愛知県	1	8	2	3	ok	0	3824	97	0	0	1613	86	2211	11
V1-A-139	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	1	55	14	神奈川県	1	1	6	5	ok	0	3820	97	0	0	1611	86	2209	11
V1-A-140	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	2	30	13	東京都	2	1	2	3	ok	0	3800	97	0	0	1601	86	2199	11
V1-A-141	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	2	31	23	愛知県	2	3	6	4	ok	0	3832	97	0	0	1617	86	2215	11
V1-A-142	V1	A	2	11	2	5	10	20	30	25	5	5			10	9	2	20	40	福岡県	1	1	2	1	ok	0	3814	97	0	0	1608	86	2206	11
V1-A-143	V1	A	2	10	2	5	10	25	30	20	7	3			10	9	2	46	13	東京都	1	4	5	5	ok	0	3814	97	0	0	1608	86	2206	11
V1-A-144	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	2	76	14	神奈川県	2	1	2	4	ok	0	3804	97	0	0	1603	86	2201	11
V1-A-145	V1	A	1	8	2	10	15	30	25	15	3	2			9	11	1	34	26	京都府	2	7	6	1	ok	0	3800	97	0	0	1601	86	2199	11
V1-A-146	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	2	28	13	東京都	1	1	6	3	ok	0	3816	97	0	0	1609	86	2207	11
V1-A-147	V1	A	1	8	2	10	15	30	25	15	3	2			8	9	2	70	1	北海道	1	8	6	4	ok	0	3818	97	0	0	1610	86	2208	11
V1-A-148	V1	A	1	8	2	10	15	30	25	15	3	2			9	9	1	76	27	大阪府	2	7	6	1	ok	0	3802	97	0	0	1602	86	2200	11
V1-A-149	V1	A	1	8	2	10	15	30	25	15	3	2			8	11	2	29	28	兵庫県	1	6	5	1	ok	0	3826	97	0	0	1614	86	2212	11
V1-A-150	V1	A	1	8	2	10	15	30	25	15	3	2			9	9	2	69	27	大阪府	2	8	2	6	ok	0	3804	97	0	0	1603	86	2201	11
V1-A-151	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	2	55	1	北海道	1	8	4	5	ok	0	3822	97	0	0	1612	86	2210	11
V1-A-152	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	2	63	29	奈良県	2	9	2	8	ok	0	3786	97	0	0	1594	86	2192	11
V1-A-153	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	2	28	23	愛知県	1	2	6	1	ok	0	3804	97	0	0	1603	86	2201	11
V1-A-154	V1	A	1	8	2	10	15	30	20	15	5	5			8	11	2	83	11	埼玉県	1	3	1	1	ok	0	3856	97	0	0	1629	86	2227	11
V1-A-155	V1	A	1	8	2	5	15	30	25	15	5	5			9	11	2	58	26	京都府	2	8	2	5	ok	0	3802	97	0	0	1602	86	2200	11
V1-A-156	V1	A	1	8	2	10	15	30	25	15	3	2			9	9	1	53	40	福岡県	1	7	2	4	ok	0	3834	97	0	0	1618	86	2216	11
V1-A-157	V1	A	2	10	2	5	10	25	30	20	5	5			9	9	2	42	23	愛知県	2	1	6	5	ok	0	3798	97	0	0	1600	86	2198	11
V1-A-158	V1	A	1	8	2	10	15	30	25	15	3	2			9	9	1	74	11	埼玉県	2	7	2	1	ok	0	3808	97	0	0	1605	86	2203	11
V1-A-159	V1	A	1	8	2	10	15	30	25	15	3	2			9	9	2	46	28	兵庫県	1	6	2	3	ok	0	3834	97	0	0	1618	86	2216	11
V1-A-160	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	1	60	13	東京都	2	7	6	4	ok	0	3808	97	0	0	1605	86	2203	11
V1-A-161	V1	A	2	10	2	5	10	25	35	15	5	5			10	9	1	38	13	東京都	1	9	7	3	ok	0	3808	97	0	0	1605	86	2203	11
V1-A-162	V1	A	1	8	2	10	15	30	20	15	5	5			8	9	2	85	27	大阪府	1	6	1	1	ok	0	3830	97	0	0	1616	86	2214	11
V1-A-163	V1	A	1	8	2	5	15	30	25	15	5	5			9	9	1	43	14	神奈川県	2	6	6	1	ok	0	3802	97	0	0	1602	86	2200	11
V1-A-164	V1	A	1	8	2	10	15	30	25	15	3	2			8	11	1	21	13	東京都	1	6	2	1	ok	0	3822	97	0	0	1612	86	2210	11
V1-A-165	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	1	79	26	京都府	2	8	2	6	ok	0	3802	97	0	0	1602	86	2200	11
V1-A-166	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	2	67	12	千葉県	1	8	2	5	ok	0	3824	97	0	0	1613	86	2211	11
V1-A-167	V1	A	2	10	2	5	10	25	30	20	5	5			10	9	2	43	27	大阪府	1	1	6	5	ok	0	3818	97	0	0	1610	86	2208	11
V1-A-168	V1	A	1	8	2	10	15	30	25	15	3	2			9	11	1	24	13	東京都	1	6	6	1	ok	0	3818	97	0	0	1610	86	2208	11
V1-A-169	V1	A	1	8	2	5	15	35	25	15	3	2			9	11	1	33	13	東京都	1	6	6	4	ok	0	3826	97	0	0	1614	86	2212	11
V1-A-170	V1	A	1	8	2	10	15	30	20	15	5	5			9	9	2	88	40	福岡県	2	1	2	2	ok	0	3802	97	0	0	1602	86	2200	11
V1-A-171	V1	A	1	8	2	10	15	30	20	15	5	5			8	9	2	20	9	栃木県	1	8	2	2	ok	0	3824	97	0	0	1613	86	2211	11
V1-A-172	V1	A	1	8	2	5	10	30	30	15	5	5			9	9	2	56	27	大阪府	1	1	3	3	ok	0	3826	97	0	0	1614	86	2212	11
